3.531	2.892	2.662	2.812	2.121	2.714	1.747	2.609	1.493	2.503	1.315	2.405	1.203	2.325	1.162	2.284	
3.642	2.883	2.846	2.795	2.203	2.689	1.799	2.576	1.55	2.463	1.341	2.358	1.221	2.272	1.174	2.229	
4.382	2.868	3.458	2.772	2.593	2.656	2.08	2.534	1.79	2.414	1.53	2.301	1.386	2.209	1.329	2.163	
6.493	2.819	5.014	2.701	3.864	2.564	2.964	2.424	2.421	2.285	2.06	2.155	1.826	2.048	1.742	1.995	
0	0	0	0	5.982	2.433	4.483	2.274	3.371	2.115	2.825	1.965	2.436	1.839	2.304	1.776	
0	0	0	0	0	0	6.886	2.091	5.205	1.91	3.984	1.735	3.365	1.583	3.124	1.507	
0	0	0	0	0	0	0	0	8.87	1.684	6.21	1.474	4.94	1.285	4.481	1.187	
3.466	2.453	2.59	2.403	2.047	2.334	1.67	2.26	1.412	2.186	1.224	2.118	1.094	2.067	1.039	2.061	
3.606	2.446	2.8	2.389	2.145	2.314	1.736	2.234	1.485	2.154	1.264	2.082	1.128	2.028	1.067	2.023	
4.414	2.435	3.455	2.37	2.559	2.287	2.034	2.201	1.738	2.116	1.46	2.038	1.298	1.981	1.224	1.978	
6.619	2.398	5.055	2.313	3.862	2.212	2.926	2.113	2.364	2.016	1.985	1.93	1.718	1.867	1.612	1.869	
0	0	0	0	5.982	2.104	4.42	1.993	3.281	1.887	2.717	1.792	2.282	1.725	2.123	1.736	
0	0	0	0	0	0	6.715	1.855	5.016	1.739	3.785	1.637	3.133	1.566	2.859	1.594	
0	0	0	0	0	0	0	0	8.359	1.591	5.781	1.481	4.53	1.408	4.052	1.464	
3.41	2.171	2.524	2.143	1.98	2.098	1.604	2.052	1.349	2.011	1.166	1.982	1.046	1.981	1.017	2.024	
3.585	2.171	2.764	2.138	2.098	2.088	1.687	2.038	1.441	1.995	1.223	1.964	1.101	1.964	1.07	2.011	
4.462	2.169	3.462	2.129	2.536	2.074	2.001	2.02	1.707	1.973	1.431	1.942	1.283	1.943	1.243	1.996	
6.772	2.154	5.114	2.098	3.874	2.029	2.91	1.966	2.34	1.915	1.964	1.883	1.713	1.89	1.657	1.958	
0	0	0	0	6.016	1.955	4.4	1.888	3.246	1.836	2.692	1.807	2.283	1.823	2.199	1.914	
0	0	0	0	0	0	6.643	1.8	4.937	1.751	3.732	1.728	3.137	1.761	2.976	1.884	
0	0	0	0	0	0	0	0	8.118	1.681	5.639	1.669	4.513	1.724	4.228	1.894	
3.33	1.786	2.428	1.799	1.885	1.802	1.516	1.811	1.278	1.834	1.116	1.88	1.03	1.964	1.046	2.068	
3.58	1.803	2.728	1.814	2.043	1.814	1.635	1.823	1.404	1.847	1.206	1.896	1.121	1.986	1.14	2.097	
4.589	1.822	3.505	1.829	2.526	1.827	1.979	1.834	1.694	1.86	1.434	1.912	1.325	2.009	1.338	2.129	
7.099	1.858	5.256	1.851	3.932	1.84	2.92	1.847	2.345	1.877	1.989	1.939	1.784	2.053	1.794	2.193	
0	0	0	0	6.13	1.831	4.421	1.844	3.252	1.885	2.727	1.962	2.38	2.098	2.382	2.265	
0	0	0	0	0	0	6.618	1.843	4.909	1.9	3.754	1.998	3.256	2.164	3.213	2.368	
0	0	0	0	0	0	0	0	7.928	1.948	5.593	2.071	4.635	2.275	4.517	2.527	
3.248	1.306	2.327	1.405	1.798	1.498	1.452	1.608	1.251	1.743	1.131	1.904	1.1	2.099	1.17	2.265	
3.645	1.358	2.74	1.458	2.028	1.552	1.63	1.664	1.43	1.803	1.269	1.97	1.237	2.173	1.31	2.345	
4.884	1.419	3.647	1.517	2.58	1.611	2.017	1.725	1.751	1.867	1.522	2.04	1.465	2.251	1.533	2.431	
7.713	1.55	5.553	1.636	4.09	1.724	3.007	1.842	2.427	1.994	2.104	2.181	1.954	2.41	2.022	2.608	
0	0	0	0	6.385	1.82	4.538	1.949	3.348	2.117	2.857	2.323	2.576	2.575	2.642	2.796	
0	0	0	0	0	0	6.707	2.068	4.986	2.257	3.884	2.487	3.471	2.769	3.499	3.019	
0	0	0	0	0	0	0	0	7.882	2.44	5.679	2.697	4.849	3.013	4.819	3.299	
																
																
																
																
																
																
																
																
																
																
																
