1.655	2.055	1.454	2.051	1.311	2.046	1.203	2.04	1.123	2.033	1.064	2.024	1.024	2.015	1.006	2.008
1.628	2.054	1.448	2.05	1.304	2.045	1.199	2.038	1.124	2.03	1.065	2.021	1.027	2.011	1.009	2.004
1.658	2.053	1.484	2.049	1.33	2.043	1.22	2.036	1.147	2.028	1.086	2.018	1.048	2.007	1.029	1.999
1.796	2.05	1.611	2.044	1.453	2.038	1.325	2.03	1.236	2.021	1.173	2.009	1.13	1.997	1.11	1.988
0	0	0	0	1.669	2.031	1.516	2.023	1.393	2.011	1.322	1.998	1.272	1.984	1.249	1.973
0	0	0	0	0	0	1.809	2.013	1.668	2	1.56	1.985	1.502	1.968	1.473	1.955
0	0	0	0	0	0	0	0	2.135	1.986	1.962	1.968	1.879	1.948	1.842	1.931
1.579	1.983	1.388	1.985	1.254	1.987	1.156	1.989	1.086	1.992	1.038	1.995	1.009	1.998	1	2.001
1.555	1.984	1.386	1.986	1.251	1.988	1.157	1.99	1.092	1.993	1.045	1.996	1.019	1.999	1.012	2.002
1.59	1.985	1.427	1.987	1.283	1.989	1.185	1.991	1.122	1.994	1.074	1.997	1.049	2.001	1.044	2.004
1.742	1.987	1.569	1.989	1.422	1.991	1.304	1.994	1.228	1.997	1.18	2	1.154	2.005	1.153	2.008
0	0	0	0	1.661	1.993	1.519	1.996	1.41	1.999	1.357	2.004	1.328	2.009	1.332	2.013
0	0	0	0	0	0	1.845	1.999	1.72	2.003	1.632	2.008	1.604	2.014	1.614	2.02
0	0	0	0	0	0	0	0	2.238	2.007	2.089	2.013	2.046	2.021	2.069	2.028
1.548	1.957	1.361	1.963	1.232	1.97	1.139	1.977	1.075	1.985	1.032	1.993	1.008	2	1.004	2.004
1.528	1.959	1.363	1.966	1.233	1.973	1.144	1.98	1.086	1.988	1.044	1.996	1.024	2.004	1.023	2.009
1.571	1.962	1.413	1.969	1.273	1.976	1.18	1.984	1.123	1.992	1.081	2.001	1.063	2.009	1.064	2.014
1.747	1.969	1.577	1.976	1.435	1.984	1.322	1.992	1.252	2.002	1.211	2.011	1.193	2.02	1.199	2.026
0	0	0	0	1.712	1.992	1.572	2.002	1.466	2.012	1.421	2.023	1.401	2.032	1.415	2.039
0	0	0	0	0	0	1.948	2.012	1.827	2.024	1.744	2.036	1.727	2.047	1.751	2.055
0	0	0	0	0	0	0	0	2.424	2.037	2.274	2.051	2.242	2.064	2.287	2.074
1.514	1.922	1.33	1.937	1.208	1.952	1.122	1.967	1.066	1.983	1.031	1.997	1.015	2.008	1.018	2.015
1.502	1.927	1.343	1.943	1.219	1.959	1.138	1.975	1.089	1.991	1.056	2.006	1.045	2.018	1.051	2.025
1.566	1.934	1.414	1.95	1.278	1.967	1.192	1.984	1.145	2.001	1.111	2.016	1.103	2.028	1.112	2.036
1.809	1.95	1.642	1.967	1.502	1.986	1.391	2.004	1.326	2.022	1.293	2.039	1.286	2.052	1.303	2.061
0	0	0	0	1.875	2.007	1.726	2.027	1.615	2.046	1.576	2.064	1.567	2.078	1.594	2.088
0	0	0	0	0	0	2.219	2.05	2.086	2.071	1.998	2.09	1.99	2.106	2.031	2.117
0	0	0	0	0	0	0	0	2.853	2.097	2.673	2.117	2.645	2.134	2.71	2.184
1.467	1.882	1.3	1.912	1.191	1.941	1.118	1.969	1.073	1.994	1.047	2.015	1.042	2.032	1.053	2.041
1.486	1.895	1.346	1.928	1.232	1.958	1.161	1.987	1.123	2.012	1.099	2.034	1.099	2.051	1.114	2.061
1.608	1.912	1.471	1.946	1.337	1.978	1.258	2.007	1.219	2.033	1.192	2.055	1.194	2.073	1.214	2.083
2.009	1.953	1.841	1.988	1.692	2.02	1.569	2.05	1.5	2.077	1.468	2.1	1.467	2.118	1.495	2.129
0	0	0	0	2.244	2.06	2.053	2.091	1.91	2.119	1.862	2.142	1.853	2.16	1.892	2.172
0	0	0	0	0	0	2.73	2.128	2.541	2.157	2.413	2.18	2.399	2.199	2.452	2.212
0	0	0	0	0	0	0	0	3.536	2.194	3.265	2.217	3.211	2.236	3.287	2.25
