4.07	3.197	2.985	3.055	2.33	2.911	1.887	2.769	1.588	2.633	1.386	2.513	1.262	2.419	1.216	2.372	
4.062	3.159	3.087	3.01	2.341	2.859	1.877	2.71	1.591	2.569	1.364	2.443	1.235	2.344	1.185	2.296	
4.652	3.109	3.592	2.953	2.639	2.796	2.079	2.641	1.761	2.493	1.49	2.361	1.341	2.257	1.283	2.207	
6.506	2.986	4.941	2.817	3.706	2.647	2.801	2.478	2.255	2.316	1.896	2.17	1.668	2.053	1.588	1.998	
0	0	0	0	5.508	2.479	4.088	2.295	3.029	2.115	2.508	1.951	2.146	1.818	2.024	1.755	
0	0	0	0	0	0	6.131	2.094	4.56	1.892	3.459	1.705	2.893	1.55	2.679	1.475	
0	0	0	0	0	0	0	0	7.616	1.644	5.281	1.427	4.158	1.238	3.763	1.146	
4.026	2.738	2.926	2.627	2.265	2.515	1.817	2.406	1.512	2.302	1.296	2.211	1.146	2.14	1.072	2.113	
4.037	2.7	3.049	2.583	2.29	2.466	1.819	2.352	1.53	2.244	1.288	2.15	1.136	2.076	1.057	2.05	
4.684	2.651	3.592	2.528	2.61	2.407	2.038	2.289	1.713	2.178	1.424	2.08	1.249	2.005	1.158	1.979	
6.633	2.534	4.994	2.402	3.717	2.272	2.78	2.147	2.217	2.028	1.837	1.925	1.571	1.845	1.447	1.822	
0	0	0	0	5.547	2.128	4.07	1.996	2.982	1.869	2.44	1.758	2.025	1.674	1.846	1.657	
0	0	0	0	0	0	6.06	1.84	4.464	1.703	3.342	1.586	2.728	1.497	2.434	1.49	
0	0	0	0	0	0	0	0	7.324	1.534	5.025	1.41	3.882	1.317	3.384	1.328	
3.982	2.436	2.866	2.348	2.201	2.262	1.751	2.181	1.447	2.11	1.232	2.055	1.085	2.027	1.029	2.042	
4.021	2.402	3.015	2.309	2.243	2.22	1.77	2.137	1.483	2.064	1.242	2.009	1.095	1.982	1.038	2	
4.729	2.359	3.6	2.262	2.587	2.171	2.006	2.086	1.682	2.012	1.391	1.957	1.222	1.932	1.155	1.955	
6.785	2.26	5.062	2.158	3.74	2.062	2.774	1.976	2.201	1.901	1.82	1.847	1.56	1.827	1.47	1.861	
0	0	0	0	5.61	1.952	4.079	1.864	2.972	1.789	2.431	1.739	2.026	1.726	1.899	1.776	
0	0	0	0	0	0	6.05	1.758	4.438	1.683	3.323	1.639	2.738	1.637	2.524	1.71	
0	0	0	0	0	0	0	0	7.195	1.587	4.951	1.551	3.884	1.565	3.525	1.672	
3.913	2.012	2.767	1.966	2.1	1.928	1.655	1.903	1.362	1.894	1.163	1.91	1.042	1.96	1.025	2.034	
4.015	1.991	2.974	1.943	2.181	1.906	1.709	1.882	1.434	1.875	1.207	1.895	1.088	1.949	1.074	2.029	
4.845	1.965	3.639	1.917	2.572	1.88	1.978	1.858	1.661	1.854	1.38	1.878	1.239	1.938	1.218	2.025	
7.115	1.909	5.221	1.862	3.812	1.828	2.797	1.812	2.214	1.815	1.843	1.85	1.612	1.924	1.579	2.028	
0	0	0	0	5.768	1.785	4.14	1.776	3.005	1.789	2.477	1.836	2.111	1.928	2.057	2.053	
0	0	0	0	0	0	6.105	1.755	4.467	1.779	3.372	1.843	2.85	1.957	2.735	2.109	
-	-	-	-	0	0	0	0	7.122	1.791	4.959	1.877	4.005	2.018	3.79	2.206	
3.815	1.455	2.637	1.497	1.981	1.554	1.557	1.631	1.299	1.73	1.138	1.856	1.065	2.01	1.101	2.148	
4.058	1.466	2.962	1.512	2.14	1.573	1.676	1.653	1.429	1.757	1.233	1.889	1.16	2.049	1.198	2.193	
5.12	1.48	3.769	1.529	2.611	1.594	1.999	1.679	1.696	1.788	1.439	1.926	1.341	2.093	1.372	2.243	
7.768	1.521	5.554	1.576	3.992	1.647	2.896	1.742	2.297	1.862	1.944	2.013	1.755	2.195	1.777	2.359	
0	0	0	0	6.092	1.716	4.304	1.821	3.124	1.953	2.608	2.119	2.289	2.318	2.294	2.5	
0	0	0	0	0	0	6.285	1.92	4.596	2.065	3.516	2.249	3.052	2.469	3.007	2.672	
0	0	0	0	0	0	0	0	7.175	2.205	5.077	2.41	4.213	2.653	4.086	2.883	
																
																
																
																
																
																
																
																
																
																
																
