3.121	2.676	2.416	2.62	1.968	2.553	1.654	2.479	1.434	2.401	1.277	2.326	1.173	2.26	1.13	2.224	
3.122	2.663	2.491	2.603	1.992	2.531	1.666	2.452	1.454	2.371	1.28	2.29	1.171	2.22	1.124	2.181	
3.503	2.646	2.829	2.581	2.209	2.505	1.823	2.421	1.589	2.334	1.385	2.248	1.262	2.173	1.206	2.132	
4.704	2.601	3.754	2.527	2.981	2.439	2.375	2.344	1.991	2.244	1.725	2.147	1.542	2.06	1.467	2.012	
0	0	0	0	4.27	2.354	3.338	2.246	2.623	2.133	2.244	2.02	1.961	1.918	1.848	1.86	
0	0	0	0	0	0	4.839	2.127	3.811	1.997	3.042	1.866	2.613	1.744	2.418	1.673	
0	0	0	0	0	0	0	0	6.085	1.84	4.519	1.684	3.704	1.534	3.352	1.442	
3.007	2.318	2.31	2.281	1.868	2.235	1.558	2.184	1.341	2.133	1.183	2.085	1.073	2.048	1.026	2.039	
3.027	2.308	2.401	2.268	1.904	2.218	1.581	2.164	1.373	2.11	1.198	2.059	1.086	2.021	1.036	2.012	
3.443	2.295	2.276	2.251	2.135	2.198	1.749	2.14	1.517	2.082	1.311	2.029	1.185	1.989	1.128	1.981	
4.7	2.261	3.714	2.208	2.926	2.146	2.31	2.081	1.923	2.017	1.656	1.958	1.468	1.915	1.393	1.908	
0	0	0	0	4.217	2.08	3.261	2.008	2.54	1.937	2.163	1.873	1.876	1.826	1.769	1.823	
0	0	0	0	0	0	4.704	1.924	3.675	1.845	2.916	1.776	2.499	1.727	2.325	1.731	
0	0	0	0	0	0	0	0	5.774	1.748	4.269	1.674	3.51	1.623	3.22	1.64	
2.933	2.115	2.238	2.094	1.801	2.066	1.496	2.037	1.285	2.011	1.135	1.994	1.038	1.993	1.008	2.011	
2.974	2.111	2.347	2.087	1.85	2.057	1.531	2.026	1.33	1.999	1.164	1.981	1.066	1.98	1.038	2.001	
3.431	2.104	2.735	2.077	2.098	2.045	1.712	2.012	1.487	1.984	1.289	1.966	1.179	1.966	1.145	1.989	
4.755	2.085	3.726	2.052	2.919	2.014	2.292	1.978	1.907	1.948	1.65	1.929	1.482	1.933	1.439	1.966	
0	0	0	0	4.233	1.972	3.252	1.934	2.53	1.903	2.166	1.887	1.907	1.896	1.848	1.936	
0	0	0	0	0	0	4.681	1.886	3.654	1.856	2.918	1.844	2.548	1.862	2.443	1.916	
0	0	0	0	0	0	0	0	5.685	1.815	4.239	1.809	3.565	1.839	3.388	1.915	
2.84	1.851	2.144	1.86	1.714	1.867	1.42	1.878	1.226	1.899	1.096	1.932	1.024	1.982	1.023	2.032	
2.924	1.857	2.291	1.866	1.791	1.873	1.481	1.885	1.297	1.906	1.149	1.942	1.081	1.995	1.082	2.048	
3.462	1.865	2.732	1.873	2.073	1.879	1.689	1.891	1.477	1.914	1.296	1.952	1.216	2.009	1.214	2.066	
4.923	1.881	3.803	1.885	2.956	1.889	2.308	1.903	1.927	1.929	1.69	1.973	1.555	2.039	1.552	2.105	
0	0	0	0	4.328	1.894	3.299	1.911	2.572	1.944	2.232	1.996	2.015	2.073	2.005	2.153	
0	0	0	0	0	0	4.733	1.923	3.704	1.964	2.998	2.029	2.687	2.121	2.649	2.217	
0	0	0	0	0	0	0	0	5.686	2.002	4.309	2.081	3.727	2.192	3.643	2.31	
2.746	1.525	2.046	1.595	1.632	1.667	1.36	1.748	1.195	1.842	1.097	1.946	1.062	2.056	1.093	2.14	
2.917	1.555	2.267	1.628	1.76	1.702	1.465	1.786	1.308	1.882	1.189	1.99	1.156	2.104	1.19	2.191	
3.602	1.592	2.803	1.666	2.102	1.741	1.716	1.827	1.523	1.926	1.367	2.037	1.321	2.156	1.353	2.246	
5.296	1.676	4.009	1.748	3.088	1.823	2.402	1.913	2.022	2.019	1.806	2.137	1.705	2.265	1.736	2.364	
0	0	0	0	4.567	1.902	3.452	1.998	2.706	2.113	2.384	2.242	2.203	2.381	2.23	2.489	
0	0	0	0	0	0	4.918	2.091	3.866	2.218	3.177	2.359	2.909	2.512	2.913	2.633	
0	0	0	0	0	0	0	0	5.834	2.344	4.497	2.499	3.973	2.667	3.941	2.804	
																
																
																
																
																
																
																
																
																
																
																
