2.115	2.189	1.765	2.198	1.527	2.19	1.352	2.17	1.226	2.143	1.128	2.106	1.057	2.068	1.025	2.048
2.183	2.2	1.882	2.209	1.612	2.198	1.427	2.175	1.304	2.144	1.189	2.102	1.113	2.06	1.076	2.038
2.522	2.215	2.209	2.222	1.862	2.207	1.634	2.178	1.492	2.143	1.349	2.096	1.26	2.049	1.214	2.024
3.633	2.245	3.187	2.243	2.745	2.215	2.33	2.175	2.053	2.128	1.851	2.068	1.698	2.009	1.63	1.979
0	0	0	0	4.221	2.197	3.504	2.143	2.914	2.084	2.596	2.009	2.332	1.934	2.224	1.896
0	0	0	0	0	0	5.32	2.079	4.431	2.007	3.699	1.914	3.282	1.821	3.078	1.773
0	0	0	0	0	0	0	0	7.298	1.914	5.71	1.795	4.866	1.675	4.476	1.613
2.006	1.957	1.667	1.978	1.436	1.986	1.269	1.986	1.153	1.985	1.067	1.983	1.017	1.991	1.012	2.013
2.096	1.975	1.802	1.996	1.535	2.001	1.356	2	1.243	1.997	1.142	1.994	1.092	2.003	1.087	2.028
2.479	1.997	2.161	2.016	1.806	2.019	1.579	2.015	1.445	2.01	1.317	2.005	1.256	2.015	1.249	2.042
3.69	2.042	3.196	2.053	2.727	2.045	2.293	2.035	2.016	2.025	1.83	2.019	1.715	2.03	1.705	2.065
0	0	0	0	4.214	2.047	3.45	2.031	2.854	2.019	2.559	2.011	2.351	2.027	2.333	2.073
0	0	0	0	0	0	5.192	2.009	4.297	1.996	3.606	1.989	3.289	2.013	3.235	2.077
0	0	0	0	0	0	0	0	6.929	1.977	5.459	1.972	4.808	2.009	4.696	2.1
1.945	1.836	1.613	1.87	1.39	1.893	1.231	1.914	1.126	1.938	1.055	1.967	1.026	2.011	1.036	2.05
2.058	1.86	1.767	1.895	1.503	1.918	1.332	1.939	1.23	1.963	1.23	1.963	1.119	2.041	1.132	2.084
2.488	1.889	2.16	1.924	1.798	1.945	1.573	1.965	1.449	1.99	1.337	2.022	1.303	2.074	1.317	2.121
3.803	1.953	3.258	1.98	2.764	1.994	2.315	2.012	2.042	2.037	1.876	2.075	1.794	2.136	1.812	2.193
0	0	0	0	4.286	2.019	3.483	2.038	2.885	2.067	2.615	2.112	2.456	2.188	2.477	2.26
0	0	0	0	0	0	5.208	2.054	4.316	2.092	3.662	2.149	3.419	2.244	3.422	2.336
0	0	0	0	0	0	0	0	6.865	2.132	5.48	2.204	4.952	2.327	4.928	2.448
1.879	1.688	1.566	1.748	1.346	1.803	1.202	1.86	1.117	1.927	1.07	2.002	1.066	2.083	1.092	2.137
2.036	1.723	1.748	1.787	1.487	1.843	1.329	1.904	1.249	1.974	1.189	2.054	1.189	2.141	1.22	2.199
2.563	1.767	2.208	1.833	1.828	1.89	1.606	1.953	1.5	2.027	1.412	2.112	1.406	2.205	1.439	2.268
4.072	1.866	3.418	1.928	2.882	1.982	2.404	2.048	2.136	2.13	1.996	2.226	1.947	2.334	1.986	2.406
0	0	0	0	4.478	2.052	3.605	2.125	3.002	2.218	2.761	2.33	2.644	2.454	2.689	2.54
0	0	0	0	0	0	5.334	2.2	4.443	2.311	3.825	2.442	3.639	2.588	3.671	2.69
0	0	0	0	0	0	0	0	6.937	2.429	5.633	2.583	5.186	2.756	5.198	2.88
1.826	1.52	1.517	1.631	1.326	1.739	1.205	1.856	1.149	1.983	1.13	2.112	1.15	2.229	1.193	2.298
2.077	1.578	1.783	1.697	1.523	1.811	1.38	1.933	1.328	2.067	1.293	2.203	1.317	2.326	1.365	2.399
2.792	1.653	2.361	1.776	1.944	1.893	1.717	2.02	1.631	2.16	1.562	2.302	1.577	2.431	1.626	2.508
4.592	1.818	3.721	1.937	3.119	2.055	2.586	2.188	2.317	2.34	2.194	2.493	2.163	2.634	2.217	2.718
0	0	0	0	4.827	2.189	3.839	2.333	3.214	2.5	2.986	2.667	2.886	2.82	2.943	2.913
0	0	0	0	0	0	5.6	2.482	4.693	2.668	4.075	2.852	3.904	3.021	3.945	3.124
0	0	0	0	0	0	0	0	7.16	2.863	5.879	3.064	5.446	3.247	5.462	3.364
